evaluator_id,evaluator_gender,evaluator_university,user_id,competency_name,score,answer_time,evaluator_foreign_university,evaluator_national_university,evaluator_no_university,evaluator_other_university,evaluator_private_university,evaluator_public_university
86,F,International Christian University,74858,Logical_thinking,2,22485,0,0,0,0,1,0
86,F,International Christian University,74858,Problem_setting,3,20305,0,0,0,0,1,0
86,F,International Christian University,74858,Resilience,2,6457,0,0,0,0,1,0
86,F,International Christian University,74858,Problem_setting,3,17466,0,0,0,0,1,0
86,F,International Christian University,74858,Creativity,2,10232,0,0,0,0,1,0
86,F,International Christian University,74858,Empathy_listening_skills,2,6279,0,0,0,0,1,0
86,F,International Christian University,74858,Decisiveness,2,105154,0,0,0,0,1,0
86,F,International Christian University,74858,Empathy_listening_skills,3,7357,0,0,0,0,1,0
86,F,International Christian University,74858,Creativity,3,22656,0,0,0,0,1,0
86,F,International Christian University,74858,Interests,3,5655,0,0,0,0,1,0
86,F,International Christian University,74858,Inner_Values,3,6177,0,0,0,0,1,0
86,F,International Christian University,74858,Decisiveness,3,35722,0,0,0,0,1,0
86,F,International Christian University,74858,Creativity,0,120721,0,0,0,0,1,0
86,F,International Christian University,74858,Inner_Values,3,7238,0,0,0,0,1,0
86,F,International Christian University,74858,Resilience,3,8018,0,0,0,0,1,0
86,F,International Christian University,74858,Empathy_listening_skills,3,40587,0,0,0,0,1,0
86,F,International Christian University,74858,Problem_setting,3,17543,0,0,0,0,1,0
86,F,International Christian University,74858,Decisiveness,4,32582,0,0,0,0,1,0
86,F,International Christian University,74858,Problem_setting,0,18182,0,0,0,0,1,0
86,F,International Christian University,74858,Interests,4,10217,0,0,0,0,1,0
86,F,International Christian University,74858,Open_minded,4,7058,0,0,0,0,1,0
86,F,International Christian University,74858,Open_minded,2,5155,0,0,0,0,1,0
86,F,International Christian University,74858,Open_minded,2,27312,0,0,0,0,1,0
86,F,International Christian University,74858,Solution_oriented,3,6372,0,0,0,0,1,0
86,F,International Christian University,74858,Solution_oriented,4,13260,0,0,0,0,1,0
86,F,International Christian University,74858,Resilience,3,9083,0,0,0,0,1,0
86,F,International Christian University,74858,Inner_Values,3,16919,0,0,0,0,1,0
86,F,International Christian University,74858,Solution_oriented,3,6033,0,0,0,0,1,0
86,F,International Christian University,74858,Logical_thinking,3,10057,0,0,0,0,1,0
86,F,International Christian University,74858,Inner_Values,0,81013,0,0,0,0,1,0
86,F,International Christian University,74858,Empathy_listening_skills,3,7045,0,0,0,0,1,0
86,F,International Christian University,74858,Logical_thinking,2,14968,0,0,0,0,1,0
86,F,International Christian University,74858,Interests,2,7272,0,0,0,0,1,0
1657,F,Shimane University,26507,Logical_thinking,4,4680,0,1,0,0,0,0
1657,F,Shimane University,26507,Inner_Values,4,7398,0,1,0,0,0,0
1657,F,Shimane University,26507,Creativity,3,14097,0,1,0,0,0,0
1657,F,Shimane University,26507,Inner_Values,4,8370,0,1,0,0,0,0
1657,F,Shimane University,26507,Open_minded,4,3847,0,1,0,0,0,0
1657,F,Shimane University,26507,Logical_thinking,3,10691,0,1,0,0,0,0
1657,F,Shimane University,26507,Decisiveness,4,14196,0,1,0,0,0,0
1657,F,Shimane University,26507,Logical_thinking,4,4987,0,1,0,0,0,0
1657,F,Shimane University,26507,Interests,4,8258,0,1,0,0,0,0
1657,F,Shimane University,26507,Problem_setting,4,4171,0,1,0,0,0,0
1657,F,Shimane University,26507,Resilience,3,16285,0,1,0,0,0,0
1657,F,Shimane University,26507,Solution_oriented,4,6414,0,1,0,0,0,0
1657,F,Shimane University,26507,Open_minded,4,4847,0,1,0,0,0,0
1657,F,Shimane University,26507,Resilience,4,3231,0,1,0,0,0,0
1657,F,Shimane University,26507,Problem_setting,4,6949,0,1,0,0,0,0
1657,F,Shimane University,26507,Creativity,4,8975,0,1,0,0,0,0
1657,F,Shimane University,26507,Solution_oriented,3,13963,0,1,0,0,0,0
1657,F,Shimane University,26507,Open_minded,4,9936,0,1,0,0,0,0
1657,F,Shimane University,26507,Inner_Values,3,13417,0,1,0,0,0,0
1657,F,Shimane University,26507,Inner_Values,4,9312,0,1,0,0,0,0
1657,F,Shimane University,26507,Problem_setting,4,3767,0,1,0,0,0,0
1657,F,Shimane University,26507,Empathy_listening_skills,4,8067,0,1,0,0,0,0
1657,F,Shimane University,26507,Empathy_listening_skills,2,7610,0,1,0,0,0,0
1657,F,Shimane University,26507,Resilience,3,5445,0,1,0,0,0,0
1657,F,Shimane University,26507,Empathy_listening_skills,4,7522,0,1,0,0,0,0
1657,F,Shimane University,26507,Decisiveness,4,2921,0,1,0,0,0,0
1657,F,Shimane University,26507,Problem_setting,4,3262,0,1,0,0,0,0
1657,F,Shimane University,26507,Decisiveness,4,4355,0,1,0,0,0,0
1657,F,Shimane University,26507,Creativity,3,10754,0,1,0,0,0,0
1657,F,Shimane University,26507,Solution_oriented,4,5329,0,1,0,0,0,0
1657,F,Shimane University,26507,Empathy_listening_skills,4,4388,0,1,0,0,0,0
1657,F,Shimane University,26507,Interests,4,13083,0,1,0,0,0,0
1657,F,Shimane University,26507,Interests,4,6598,0,1,0,0,0,0
3374,M,Nagasaki University,46335,Empathy_listening_skills,3,4521,0,1,0,0,0,0
3374,M,Nagasaki University,46335,Inner_Values,3,10912,0,1,0,0,0,0
3374,M,Nagasaki University,46335,Logical_thinking,2,6164,0,1,0,0,0,0
3374,M,Nagasaki University,46335,Creativity,2,5868,0,1,0,0,0,0
3374,M,Nagasaki University,46335,Problem_setting,2,4351,0,1,0,0,0,0
3374,M,Nagasaki University,46335,Empathy_listening_skills,3,4277,0,1,0,0,0,0
3374,M,Nagasaki University,46335,Decisiveness,2,6487,0,1,0,0,0,0
3374,M,Nagasaki University,46335,Logical_thinking,2,3901,0,1,0,0,0,0
3374,M,Nagasaki University,46335,Open_minded,3,4330,0,1,0,0,0,0
3374,M,Nagasaki University,46335,Solution_oriented,3,4206,0,1,0,0,0,0
3374,M,Nagasaki University,46335,Decisiveness,2,18684,0,1,0,0,0,0
3374,M,Nagasaki University,46335,Logical_thinking,1,6896,0,1,0,0,0,0
3374,M,Nagasaki University,46335,Interests,3,4021,0,1,0,0,0,0
3374,M,Nagasaki University,46335,Open_minded,4,6396,0,1,0,0,0,0
3374,M,Nagasaki University,46335,Solution_oriented,3,7102,0,1,0,0,0,0
3374,M,Nagasaki University,46335,Inner_Values,1,7166,0,1,0,0,0,0
3374,M,Nagasaki University,46335,Solution_oriented,2,8520,0,1,0,0,0,0
3374,M,Nagasaki University,46335,Creativity,2,6034,0,1,0,0,0,0
3374,M,Nagasaki University,46335,Open_minded,4,3669,0,1,0,0,0,0
3374,M,Nagasaki University,46335,Inner_Values,3,3738,0,1,0,0,0,0
